N,P,K,temperature,humidity,ph,rainfall,label,Wind Speed (km/h),Soil Moisture (%),Water Requirement (mm/day),Growth Stage,Area (sqm),Irrigation Type,Soil Type,Past Yield (tons),Last Irrigation Date,Last Fertilization Date,Region/State
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,7.44,41.78,9.12,Fruiting,718,Sprinkler,Clay,2.14,01-04-2025,09-02-2025,Karnataka
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,14.9,11.39,8.81,Fruiting,915,Flood,Sandy,2.18,09-03-2025,06-02-2025,Assam
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,5.69,33.31,4.57,Seedling,784,Drip,Clay,4.97,12-03-2025,22-03-2025,Punjab
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice,23.19,49.82,5.8,Harvest,830,Flood,Silty,4.98,30-03-2025,25-02-2025,Karnataka
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,10.18,44.23,5.87,Vegetative,563,Drip,Loamy,1.02,09-03-2025,03-03-2025,Assam
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,18.25,30.86,9.85,Seedling,346,Drip,Sandy,3.77,19-03-2025,20-02-2025,Maharashtra
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice,11.23,12.55,4.27,Vegetative,829,Sprinkler,Sandy,0.73,24-03-2025,06-03-2025,Maharashtra
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,15.4,43.25,8.59,Seedling,472,Sprinkler,Silty,0.64,23-03-2025,12-03-2025,Tamil Nadu
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,15.93,33.96,5.34,Harvest,516,Sprinkler,Loamy,0.97,14-03-2025,17-02-2025,Maharashtra
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,8.7,14.6,8.12,Seedling,130,Manual,Loamy,4.84,29-03-2025,16-03-2025,Karnataka
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice,24.39,13.75,5.94,Vegetative,467,Manual,Loamy,4.73,22-03-2025,25-03-2025,Maharashtra
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,20.5,46.39,7.05,Fruiting,658,Flood,Silty,1.37,04-04-2025,29-03-2025,Punjab
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,23.79,36.77,8.83,Vegetative,745,Sprinkler,Sandy,1.23,08-03-2025,01-03-2025,Punjab
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice,22.9,43.17,8.63,Flowering,207,Manual,Sandy,1.58,02-04-2025,25-02-2025,Punjab
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice,16.96,45.16,9.06,Flowering,683,Sprinkler,Loamy,2.82,19-03-2025,03-03-2025,Maharashtra
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,23.44,32.87,3.42,Flowering,938,Manual,Silty,3.06,20-03-2025,27-02-2025,Maharashtra
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,6.77,30.7,7.84,Flowering,517,Manual,Silty,1.5,09-03-2025,09-03-2025,Tamil Nadu
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice,8.92,27.22,3.98,Harvest,719,Drip,Silty,3.9,14-03-2025,22-03-2025,Assam
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,5.9,22.68,5.91,Fruiting,920,Sprinkler,Loamy,1.89,21-03-2025,19-02-2025,Tamil Nadu
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,11.51,27.38,6.84,Fruiting,497,Sprinkler,Silty,4.65,28-03-2025,19-03-2025,Karnataka
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,12.77,40.96,5.82,Vegetative,371,Manual,Loamy,3.46,06-03-2025,27-02-2025,Punjab
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,10.43,34.08,6.64,Seedling,782,Sprinkler,Loamy,2.46,28-03-2025,22-03-2025,Maharashtra
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,21.57,45.7,9.98,Vegetative,215,Manual,Loamy,4.05,25-03-2025,21-02-2025,Assam
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice,12.14,27.74,3.95,Vegetative,940,Sprinkler,Clay,4.18,21-03-2025,10-02-2025,Assam
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,10.62,34.28,7.73,Vegetative,685,Drip,Loamy,1.81,31-03-2025,16-03-2025,Maharashtra
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,15.85,35.25,5.77,Vegetative,355,Sprinkler,Silty,2.03,07-03-2025,11-02-2025,Tamil Nadu
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice,7.82,33.67,3.93,Fruiting,180,Drip,Clay,4.71,22-03-2025,13-03-2025,Assam
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,21.04,38.11,4.11,Seedling,879,Flood,Sandy,1.24,13-03-2025,15-02-2025,Tamil Nadu
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,6.49,19.5,9.64,Vegetative,227,Sprinkler,Sandy,0.69,03-04-2025,29-03-2025,Maharashtra
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice,24.74,30.49,9.16,Fruiting,937,Sprinkler,Silty,2.54,27-03-2025,21-02-2025,Tamil Nadu
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,20.44,14.17,9.35,Vegetative,334,Sprinkler,Silty,4.11,08-03-2025,05-02-2025,Punjab
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,8.97,25.38,9.94,Flowering,652,Drip,Silty,3.97,12-03-2025,30-03-2025,Maharashtra
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice,5.11,29.51,4.46,Vegetative,280,Sprinkler,Silty,4.64,15-03-2025,08-03-2025,Maharashtra
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice,21.31,36.09,5.49,Vegetative,256,Sprinkler,Clay,2.9,21-03-2025,09-03-2025,Assam
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,19.14,48.02,7.68,Harvest,553,Manual,Silty,0.95,16-03-2025,03-03-2025,Assam
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,19.58,34.03,6.39,Flowering,670,Flood,Loamy,3.15,19-03-2025,16-02-2025,Assam
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,20.43,39.74,5.93,Seedling,956,Drip,Sandy,4,19-03-2025,05-03-2025,Punjab
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,6.48,30.25,5.5,Vegetative,860,Manual,Silty,0.92,31-03-2025,18-02-2025,Punjab
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,12.17,35.36,7.16,Seedling,803,Drip,Loamy,1.28,25-03-2025,16-03-2025,Karnataka
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice,7.32,12.84,7.03,Flowering,123,Manual,Silty,0.56,11-03-2025,12-02-2025,Maharashtra
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,22.26,20.18,4.13,Vegetative,572,Flood,Loamy,3.17,03-04-2025,26-03-2025,Assam
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,17.47,24.47,6.3,Harvest,499,Manual,Clay,4.49,12-03-2025,09-02-2025,Maharashtra
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,11.62,28.9,6.87,Fruiting,691,Drip,Sandy,3.52,09-03-2025,13-02-2025,Tamil Nadu
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice,6.27,11.83,6.99,Harvest,233,Sprinkler,Sandy,4.92,12-03-2025,06-02-2025,Punjab
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,11.22,15.6,4.47,Harvest,520,Sprinkler,Clay,0.78,26-03-2025,08-02-2025,Karnataka
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,11.5,21.07,8.2,Fruiting,312,Flood,Loamy,4.56,28-03-2025,03-03-2025,Tamil Nadu
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,19.59,48.86,3.18,Fruiting,999,Drip,Silty,4.16,12-03-2025,08-02-2025,Maharashtra
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice,17.75,23.25,5.48,Fruiting,581,Drip,Loamy,1.91,07-03-2025,02-03-2025,Punjab
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,22.74,29.28,8.46,Vegetative,447,Drip,Sandy,4.88,21-03-2025,21-03-2025,Assam
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice,14.44,17.84,6.95,Seedling,265,Flood,Clay,1.8,30-03-2025,04-02-2025,Tamil Nadu
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice,7.39,34.43,4.83,Seedling,447,Sprinkler,Clay,4.5,16-03-2025,31-03-2025,Punjab
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice,19.26,21.23,7.86,Fruiting,948,Manual,Loamy,4.46,17-03-2025,09-03-2025,Maharashtra
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice,20.22,18.28,6.97,Harvest,497,Flood,Loamy,3.91,02-04-2025,08-02-2025,Maharashtra
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,16.23,30.66,8.57,Flowering,682,Manual,Clay,3.04,25-03-2025,15-02-2025,Tamil Nadu
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice,20.42,10.22,8.15,Fruiting,825,Sprinkler,Sandy,1.04,17-03-2025,27-02-2025,Tamil Nadu
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,14.88,10.31,7.27,Harvest,534,Flood,Silty,2.89,16-03-2025,27-02-2025,Tamil Nadu
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice,15.45,18.76,6.42,Harvest,676,Sprinkler,Silty,2.11,12-03-2025,14-02-2025,Karnataka
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice,13.55,11.47,3.93,Vegetative,320,Manual,Loamy,4.06,10-03-2025,04-02-2025,Assam
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,5.51,14.32,4.83,Vegetative,407,Drip,Clay,3.91,25-03-2025,22-02-2025,Punjab
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,7.16,23.55,5.93,Seedling,897,Drip,Clay,4.6,14-03-2025,11-03-2025,Maharashtra
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize,5.63,42.1,7.2,Seedling,796,Manual,Clay,0.57,03-04-2025,22-03-2025,Maharashtra
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize,17.73,32.88,6.6,Flowering,818,Drip,Sandy,4.14,20-03-2025,06-03-2025,Assam
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,11.29,30.51,5.02,Flowering,565,Manual,Loamy,4.72,22-03-2025,17-02-2025,Tamil Nadu
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,15.17,21.74,3.05,Flowering,198,Flood,Loamy,4.05,07-03-2025,04-03-2025,Tamil Nadu
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,23.15,47.27,6.47,Flowering,341,Flood,Loamy,1.09,29-03-2025,18-02-2025,Maharashtra
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,9.99,25.88,5,Harvest,257,Flood,Sandy,0.87,12-03-2025,04-03-2025,Assam
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,13.21,13.48,8.14,Harvest,709,Drip,Loamy,0.59,31-03-2025,02-03-2025,Maharashtra
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize,20.11,34.68,3.17,Seedling,653,Sprinkler,Silty,3.33,24-03-2025,03-03-2025,Tamil Nadu
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize,9.58,14.55,7.09,Vegetative,750,Drip,Loamy,3.33,07-03-2025,09-03-2025,Punjab
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,6.54,23.81,9.59,Vegetative,894,Drip,Loamy,4.94,27-03-2025,25-02-2025,Tamil Nadu
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,10.8,30.3,4.22,Fruiting,326,Sprinkler,Loamy,2.29,14-03-2025,04-02-2025,Punjab
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize,8.22,44.97,6.3,Harvest,522,Sprinkler,Sandy,1.99,24-03-2025,05-02-2025,Karnataka
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize,23.59,29.74,3.64,Flowering,171,Sprinkler,Silty,3.31,17-03-2025,06-03-2025,Assam
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,21.16,38.09,7.38,Flowering,342,Sprinkler,Silty,4.22,11-03-2025,28-03-2025,Karnataka
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize,17.67,49.71,6.85,Fruiting,629,Drip,Clay,4.72,03-04-2025,26-02-2025,Tamil Nadu
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize,22.43,15.26,5.85,Vegetative,688,Manual,Clay,4.11,21-03-2025,26-02-2025,Assam
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize,21.07,20.99,6.65,Flowering,144,Flood,Silty,2.42,16-03-2025,14-03-2025,Tamil Nadu
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize,8.73,25.78,9.28,Vegetative,571,Manual,Loamy,3.36,01-04-2025,24-03-2025,Assam
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize,22.85,26.87,4.37,Fruiting,470,Drip,Loamy,4.35,17-03-2025,15-03-2025,Assam
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,15.79,26.44,3.16,Vegetative,954,Sprinkler,Loamy,2.71,12-03-2025,27-03-2025,Tamil Nadu
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize,21.15,46.3,9.03,Vegetative,751,Flood,Sandy,1.48,17-03-2025,08-03-2025,Tamil Nadu
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,22.92,38.56,7.04,Vegetative,788,Flood,Loamy,1.26,03-04-2025,22-02-2025,Assam
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,11.36,34.32,9.23,Flowering,833,Manual,Sandy,0.5,25-03-2025,16-03-2025,Assam
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize,7.2,22.37,7.18,Seedling,191,Drip,Silty,3.73,14-03-2025,18-03-2025,Tamil Nadu
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,9.56,42.95,8.67,Harvest,121,Drip,Loamy,1,13-03-2025,18-03-2025,Tamil Nadu
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize,13.54,48.2,6.01,Vegetative,271,Drip,Loamy,1.6,13-03-2025,06-03-2025,Maharashtra
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize,21.36,42.85,8.25,Vegetative,703,Flood,Clay,1.84,17-03-2025,13-02-2025,Maharashtra
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize,22.21,10.06,9.39,Vegetative,291,Manual,Silty,3.02,12-03-2025,19-02-2025,Maharashtra
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize,5.14,35.46,7,Seedling,176,Flood,Loamy,2.29,31-03-2025,27-02-2025,Karnataka
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize,15.21,12.05,4.27,Fruiting,380,Flood,Sandy,3.54,19-03-2025,13-02-2025,Assam
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize,13.35,20.3,4.88,Flowering,463,Sprinkler,Silty,0.75,22-03-2025,21-02-2025,Punjab
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,9.44,12.38,4.39,Seedling,278,Manual,Clay,1.06,18-03-2025,30-03-2025,Karnataka
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,7.4,34.15,4.73,Vegetative,337,Sprinkler,Silty,2.75,31-03-2025,05-02-2025,Assam
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize,11.75,37.46,5.14,Seedling,234,Drip,Sandy,2.02,30-03-2025,09-03-2025,Punjab
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,maize,23.86,14.58,6.89,Seedling,976,Flood,Clay,1.83,25-03-2025,11-02-2025,Maharashtra
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,11.46,25.35,7.12,Seedling,379,Manual,Sandy,0.8,18-03-2025,28-02-2025,Punjab
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize,15.38,28.25,5.99,Fruiting,118,Drip,Silty,4.53,01-04-2025,17-03-2025,Tamil Nadu
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize,19.06,24.76,7.31,Harvest,694,Manual,Clay,3.61,26-03-2025,22-02-2025,Tamil Nadu
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize,12.27,14.84,3.57,Flowering,839,Flood,Sandy,1.05,30-03-2025,17-02-2025,Assam
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize,24.44,26.76,3.61,Fruiting,470,Manual,Silty,0.79,12-03-2025,18-02-2025,Karnataka
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize,24.25,40.05,4.2,Fruiting,876,Drip,Sandy,4.89,20-03-2025,24-03-2025,Maharashtra
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize,10.04,12.84,6.63,Harvest,211,Sprinkler,Loamy,3.57,11-03-2025,21-03-2025,Assam
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize,14.94,13.21,4.5,Fruiting,862,Flood,Silty,2.38,18-03-2025,06-03-2025,Maharashtra
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize,11.02,24.19,4.98,Seedling,775,Sprinkler,Clay,3.66,07-03-2025,25-03-2025,Tamil Nadu
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,10.7,47.67,5.8,Seedling,969,Flood,Clay,3.9,14-03-2025,05-03-2025,Karnataka
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize,5.74,36.74,8.68,Vegetative,779,Drip,Loamy,4.01,07-03-2025,02-03-2025,Karnataka
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize,17.19,37.15,3.1,Fruiting,320,Flood,Sandy,2.65,21-03-2025,03-03-2025,Tamil Nadu
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize,15.05,24.48,7.55,Vegetative,403,Sprinkler,Sandy,2.43,22-03-2025,28-02-2025,Punjab
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize,6.03,33.75,7.68,Flowering,802,Flood,Clay,0.55,30-03-2025,16-02-2025,Karnataka
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize,10.57,10.41,8.59,Seedling,424,Drip,Sandy,4.67,20-03-2025,05-02-2025,Punjab
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,maize,23.17,35.44,9.53,Flowering,536,Flood,Silty,3.21,01-04-2025,19-02-2025,Maharashtra
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize,9.79,46.53,3.14,Harvest,537,Sprinkler,Silty,1.41,23-03-2025,07-02-2025,Karnataka
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize,7.9,34.5,4.08,Seedling,269,Drip,Clay,4.64,17-03-2025,21-02-2025,Tamil Nadu
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize,14.79,44.95,9.2,Flowering,474,Sprinkler,Silty,4.62,22-03-2025,16-02-2025,Punjab
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize,24.71,38.96,6.21,Harvest,656,Flood,Clay,4.95,28-03-2025,22-02-2025,Maharashtra
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize,9.84,14.82,6.95,Flowering,480,Manual,Sandy,4.43,08-03-2025,07-03-2025,Maharashtra
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize,18.44,46.1,7.64,Harvest,113,Sprinkler,Sandy,4.99,24-03-2025,26-03-2025,Karnataka
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,20.23,12.66,7.75,Harvest,842,Flood,Sandy,1.6,13-03-2025,09-03-2025,Karnataka
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,maize,9.75,31.36,9.52,Seedling,768,Manual,Loamy,4.29,29-03-2025,25-02-2025,Assam
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize,19.56,15.69,9.98,Vegetative,599,Manual,Clay,4.2,15-03-2025,27-03-2025,Assam
